location_name,Month,TotalDevices,CENTER_ID,BldgGroupID,BldgGroupName,Group,Region
Tanger Outlets Blowing Rock,2019-01-01,1855,BLOWI1,BLOWI1,Blowing Rock Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Blowing Rock,2019-02-01,1746,BLOWI1,BLOWI1,Blowing Rock Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Blowing Rock,2019-03-01,2399,BLOWI1,BLOWI1,Blowing Rock Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Blowing Rock,2019-04-01,2967,BLOWI1,BLOWI1,Blowing Rock Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Blowing Rock,2019-05-01,3162,BLOWI1,BLOWI1,Blowing Rock Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Blowing Rock,2019-06-01,3474,BLOWI1,BLOWI1,Blowing Rock Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Blowing Rock,2019-07-01,4334,BLOWI1,BLOWI1,Blowing Rock Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Blowing Rock,2019-08-01,3960,BLOWI1,BLOWI1,Blowing Rock Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Blowing Rock,2019-09-01,3319,BLOWI1,BLOWI1,Blowing Rock Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Blowing Rock,2019-10-01,3792,BLOWI1,BLOWI1,Blowing Rock Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Blowing Rock,2019-11-01,4129,BLOWI1,BLOWI1,Blowing Rock Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Blowing Rock,2019-12-01,3824,BLOWI1,BLOWI1,Blowing Rock Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Blowing Rock,2020-01-01,2407,BLOWI1,BLOWI1,Blowing Rock Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Blowing Rock,2020-02-01,2241,BLOWI1,BLOWI1,Blowing Rock Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Blowing Rock,2020-03-01,1434,BLOWI1,BLOWI1,Blowing Rock Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Blowing Rock,2020-04-01,390,BLOWI1,BLOWI1,Blowing Rock Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Blowing Rock,2020-05-01,1499,BLOWI1,BLOWI1,Blowing Rock Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Blowing Rock,2020-06-01,3302,BLOWI1,BLOWI1,Blowing Rock Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Blowing Rock,2020-07-01,4133,BLOWI1,BLOWI1,Blowing Rock Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Blowing Rock,2020-08-01,3888,BLOWI1,BLOWI1,Blowing Rock Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Blowing Rock,2020-09-01,3774,BLOWI1,BLOWI1,Blowing Rock Outlet Center,Blended (Tourist and Regional),South
